X,Y,Z,Nx,Ny,Nz,I,J,K,IncAngle,LateralDensity,DirectionDensity,ExposureTime,Rnom,PointDev
-4.68832,-4.53652,4.58401,-0.582705795183152,-0.5422142407610562,0.6053574756917448,8.14835e-05,0.00122949,0.999999,0.9214788890220919,75,2,0.6,8.0,-0.026700443799944296
-4.89462,-4.53611,4.38071,-0.6013045112034934,-0.5426179477827804,0.5865139789897014,8.14835e-05,0.00122949,0.999999,0.9449327373900022,75,2,0.6,8.0,-0.017254921983291815
-4.93642,-4.53602,4.34531,-0.5989308936649268,-0.5380229513449843,0.5931383383661559,8.14835e-05,0.00122949,0.999999,0.9367275062197987,75,2,0.6,8.0,-0.010917521210586756
-4.75752,-4.23851,4.77591,-0.5907365079334572,-0.5154714568716602,0.6207411339239511,8.14835e-05,0.00122949,0.999999,0.9019787295677468,75,2,0.6,8.0,-0.03706838541231683
-4.71532,-4.17801,4.88021,-0.5895748197538128,-0.5122471677750983,0.6245032994457671,8.14835e-05,0.00122949,0.999999,0.8971691164599439,75,2,0.6,8.0,-0.030905954463832153
-4.72392,-4.41681,4.68221,-0.5880997887260659,-0.5292823685861275,0.611554423419711,8.14835e-05,0.00122949,0.999999,0.9136559208072479,75,2,0.6,8.0,-0.015845616059268153
-4.79792,-4.17782,4.81591,-0.5914181407683635,-0.5127291425761644,0.6223611565025595,8.14835e-05,0.00122949,0.999999,0.8999079157523089,75,2,0.6,8.0,-0.020826771720017234
-5.00322,-4.17742,4.61151,-0.6105201972987357,-0.5098372412952592,0.6060784405328673,8.14835e-05,0.00122949,0.999999,0.9205262427949676,75,2,0.6,8.0,-0.01569835834717548
-5.08662,-4.17732,4.52091,-0.6172669634447233,-0.5094000189950577,0.5995774482813421,8.14835e-05,0.00122949,0.999999,0.928669018621771,75,2,0.6,8.0,-0.014868026456920092
-5.25342,-4.17691,4.38171,-0.6269790132754223,-0.5098350702569231,0.5890377900001798,8.14835e-05,0.00122949,0.999999,0.9417679062069668,75,2,0.6,8.0,0.015259282680753827
-7.31112,-0.411717,3.15751,-0.8898656140535088,-0.015813436907988615,0.4559485981317732,8.14835e-05,0.00122949,0.999999,1.0974622721397378,75,2,0.6,8.0,-0.025549803115641367
-7.39942,0.00738085,3.07171,-0.8962199239609241,0.026765461969218602,0.44280182693960285,8.14835e-05,0.00122949,0.999999,1.11212029688176,75,2,0.6,8.0,0.011671057741120094
-7.35412,0.00738085,3.15531,-0.8960339763410273,0.026693522778474442,0.44318232036506394,8.14835e-05,0.00122949,0.999999,1.111695979510481,75,2,0.6,8.0,0.0024444170170099255
-7.26132,0.00718249,3.26301,-0.8942136587288833,0.018719854122854526,0.44724881174165626,8.14835e-05,0.00122949,0.999999,1.1071654559019555,75,2,0.6,8.0,-0.03921775259098048
-7.35122,-0.112118,3.10501,-0.8946740173380817,0.02048387404665766,0.44624972112504313,8.14835e-05,0.00122949,0.999999,1.1082797699091405,75,2,0.6,8.0,-0.019142086565881122
-7.35482,-0.290616,3.08621,-0.8889211190448548,-0.010761615328779922,0.4579338726842098,8.14835e-05,0.00122949,0.999999,1.0952234116942274,75,2,0.6,8.0,-0.018613713398154097
-7.45032,0.127681,2.94841,-0.8962193468616453,0.029333531753481246,0.4426402898807936,8.14835e-05,0.00122949,0.999999,1.1122969259160307,75,2,0.6,8.0,0.013531809898866598
-7.26642,-0.350819,3.21771,-0.89340818218549,-0.02229996921977087,0.4486920228584581,8.14835e-05,0.00122949,0.999999,1.1056076167163031,75,2,0.6,8.0,-0.04527868299203064
-7.35792,-0.173413,2.97581,-0.8950932564908569,0.018404028328278393,0.4454989943040109,8.14835e-05,0.00122949,0.999999,1.109121352584343,75,2,0.6,8.0,-0.061202613048434884
-7.26152,0.245685,3.21121,-0.8973456581465059,0.03364894021676021,0.44004376899111197,8.14835e-05,0.00122949,0.999999,1.1151846387398041,75,2,0.6,8.0,-0.05632934382819421
-7.22092,0.245586,3.28161,-0.8972071196248338,0.034923543958023176,0.4402269080507473,8.14835e-05,0.00122949,0.999999,1.1149789279718991,75,2,0.6,8.0,-0.06457547941535857
-7.35992,0.544986,2.99631,-0.9079934684587264,0.0698084388117664,0.4131278774265374,8.14835e-05,0.00122949,0.999999,1.1448975823625451,75,2,0.6,8.0,-0.03486938194382194
-7.26542,0.0680803,3.22311,-0.8962260102022562,0.022299523612076405,0.44303687192334196,8.14835e-05,0.00122949,0.999999,1.1118642653333264,75,2,0.6,8.0,-0.051452914164244135
-5.59172,-3.10412,4.77291,-0.6933428549416342,-0.37493143729415507,0.6153877662335537,8.14835e-05,0.00122949,0.999999,0.9085754315180267,75,2,0.6,8.0,-0.019801794385053917
-6.40232,-1.84411,4.34811,-0.8039335073676062,-0.23539586694282386,0.5461498892775276,8.14835e-05,0.00122949,0.999999,0.9934592621211367,75,2,0.6,8.0,-0.04409001769125087
-6.31762,-1.84422,4.47101,-0.7839100151983479,-0.2343378567052582,0.5749529171910619,8.14835e-05,0.00122949,0.999999,0.9586804033637437,75,2,0.6,8.0,-0.043656600365969744
-6.10632,-1.84452,4.73371,-0.7643525923720236,-0.23355902802034204,0.6010118925315541,8.14835e-05,0.00122949,0.999999,0.9264674664930944,75,2,0.6,8.0,-0.05661228839357246
-5.76792,-1.84512,5.19181,-0.7178978939981923,-0.2334811948427403,0.6558270697735544,8.14835e-05,0.00122949,0.999999,0.8559769585346922,75,2,0.6,8.0,-0.023267585226391496
-5.68482,-1.84522,5.28661,-0.7065607053030071,-0.2311533037907804,0.6688348973164636,8.14835e-05,0.00122949,0.999999,0.8386162105159842,75,2,0.6,8.0,-0.020635327740684772
-4.88942,-3.10552,5.47021,-0.6128529944873045,-0.38553695675194566,0.689762612879527,8.14835e-05,0.00122949,0.999999,0.8103593195779766,75,2,0.6,8.0,-0.032950367237567946
-4.84782,-3.10562,5.51061,-0.6078844852494212,-0.38449056993356734,0.6947254524092282,8.14835e-05,0.00122949,0.999999,0.8034847674069633,75,2,0.6,8.0,-0.03049205352676765
-4.87062,-2.14492,5.92631,-0.6114852705965669,-0.2586337900707463,0.7477929703314177,8.14835e-05,0.00122949,0.999999,0.7266193556016949,75,2,0.6,8.0,-0.03477739125264634
-4.82952,-2.14502,5.95391,-0.6077591341725476,-0.25800518839917674,0.7510407163323041,8.14835e-05,0.00122949,0.999999,0.7217155606586828,75,2,0.6,8.0,-0.03919485737152417
-4.79032,-2.14512,5.97971,-0.6007787296961672,-0.2598050910984618,0.7560199948308111,8.14835e-05,0.00122949,0.999999,0.714148784184999,75,2,0.6,8.0,-0.04351602773561858
-4.75012,-2.14521,6.00701,-0.5982915978021581,-0.2623789085387437,0.7571026828332853,8.14835e-05,0.00122949,0.999999,0.7124987128024822,75,2,0.6,8.0,-0.04702979393233253
-6.22892,-3.16121,3.89841,-0.7728627651364752,-0.3673790992001619,0.5174125469453548,8.14835e-05,0.00122949,0.999999,1.027573586193523,75,2,0.6,8.0,-0.0006066755909541754
-6.14522,-3.16142,3.97321,-0.7665793073190813,-0.3501437691614087,0.5382894263383221,8.14835e-05,0.00122949,0.999999,1.0029755772005293,75,2,0.6,8.0,-0.028506854490809808
-6.05852,-3.16162,4.07991,-0.7405608185366708,-0.37141244478455454,0.5600200620580088,8.14835e-05,0.00122949,0.999999,0.9770107177160082,75,2,0.6,8.0,-0.040906381823367255
-5.92802,-3.16172,4.31381,-0.7377493031750872,-0.37204914824817625,0.5632986747299159,8.14835e-05,0.00122949,0.999999,0.973050365844993,75,2,0.6,8.0,-0.015837476923455718
-5.88652,-3.16172,4.37301,-0.7354542161542036,-0.37035333097308293,0.5674024199614837,8.14835e-05,0.00122949,0.999999,0.9680746015845398,75,2,0.6,8.0,-0.014337376967394455
-5.75982,-3.16192,4.53611,-0.7214568360185534,-0.37655741201992254,0.5811235231987744,8.14835e-05,0.00122949,0.999999,0.9513292767955147,75,2,0.6,8.0,-0.01566793958943613
-5.42692,-3.16252,4.91211,-0.6772522256545175,-0.3825498064548063,0.6284783754652127,8.14835e-05,0.00122949,0.999999,0.8918769779251908,75,2,0.6,8.0,-0.026179203863432754
